SEQN,RIDSTATR,Gender,Age,Race,EducationLevel,AnnualHouseholdIncome,RatioFIP,LowIncome
96566,2,1,23,3,,4,0,2
96619,2,2,23,3,,5,0.96,1
96626,2,1,23,5,,5,0.96,1
96756,2,2,23,3,,6,1.2,1
97116,2,2,23,1,,6,1.1,1
97157,2,1,23,1,,,,1
97402,2,2,23,5,,99,0,1
97531,2,2,23,2,,15,2.65,2
97581,1,1,23,5,,14,3.66,2
97600,2,2,23,5,,14,4.7,2
97633,1,1,23,1,,6,1.64,2
97685,2,1,23,2,,7,2.55,1
97687,1,1,23,4,,7,1.74,1
97756,2,2,23,1,,,0.42,1
97851,2,1,23,4,,77,,1
98073,2,2,23,2,,1,0.16,2
98295,2,2,23,1,,15,4.34,1
98677,2,1,23,3,,7,3.09,2
98851,2,2,23,5,,10,3.95,1
98920,2,1,23,3,,5,0.71,2
98958,2,2,23,3,,6,1.35,1
99244,1,2,23,3,,9,2.39,1
99247,2,1,23,3,,5,0.8,2
99463,2,2,23,2,,6,0.91,1
99583,2,2,23,3,,15,1.07,1
99641,2,1,23,4,,14,2.36,2
100107,2,1,23,4,,1,0,2
100276,1,2,23,4,,3,0.69,1
100624,2,1,23,1,,4,0.49,1
100892,2,1,23,1,,14,3.29,1
100913,2,2,23,4,,9,1.89,2
100985,2,1,23,3,,7,1.22,2
101011,2,1,23,3,,14,4.41,1
101025,2,2,23,5,,8,1.24,2
101099,2,2,23,3,,2,0.54,2
101214,2,1,23,5,,8,1.79,1
101462,2,2,23,3,,7,2.46,2
101564,1,1,23,5,,,,1
101588,2,2,23,2,,9,2.69,1
101709,2,2,23,2,,8,2.55,2
101893,2,1,23,1,,7,1.11,2
101990,2,2,23,3,,15,5,1
102126,2,2,23,2,,12,2.68,2
102163,2,1,23,3,,14,3.71,2
102202,2,2,23,5,,9,2.29,2
102239,2,1,23,5,,7,1.36,2
102242,2,1,23,3,,5,0.8,1
102568,2,1,23,2,,3,0.41,1
102713,2,2,23,4,,7,0.37,1
102746,2,1,23,3,,8,2.29,1
93811,2,1,24,5,,9,2.94,2
93902,2,2,24,1,,99,,2
93931,2,1,24,5,,7,1.21,2
93954,2,1,24,3,,7,1.22,1
93998,2,2,24,3,,8,1.83,1
94176,2,2,24,3,,8,3.48,2
94302,2,2,24,5,,12,,2
94341,2,1,24,1,,8,1.7,2
94379,2,2,24,3,,14,2.55,2
94560,2,2,24,3,,7,2.13,2
94608,2,1,24,1,,12,,1
94644,2,1,24,3,,99,1.2,2
94761,2,1,24,5,,8,2.41,2
94786,2,2,24,3,,9,2.79,2
94968,2,1,24,4,,99,,2
95255,2,2,24,3,,15,5,2
95261,2,2,24,2,,6,1.22,2
95262,2,2,24,5,,5,0.98,1
95445,2,2,24,2,,13,,1
95532,1,1,24,1,,10,2,2
95612,2,1,24,5,,77,,2
95703,2,2,24,4,,,,2
95811,2,2,24,1,,4,0.63,1
95853,2,2,24,2,,,,1
95951,2,1,24,3,,14,2.61,1
96031,2,2,24,2,,7,2.43,2
96105,2,2,24,2,,7,1.81,1
96229,2,2,24,3,,4,0.87,1
96443,2,2,24,3,,12,,1
96453,2,2,24,2,,4,0.41,2
96500,2,1,24,5,,,,1
96513,2,1,24,3,,3,0.83,1
96656,2,1,24,2,,1,0.16,1
96661,2,2,24,5,,8,2.49,1
96885,2,1,24,1,,3,0.48,2
96900,2,1,24,2,,99,,1
96958,2,2,24,4,,7,1.21,2
97064,2,1,24,1,,7,1.82,1
97497,2,1,24,4,,6,1.44,1
97575,2,2,24,3,,8,2.57,1
97644,2,1,24,2,,1,0.12,2
97722,2,2,24,4,,14,2.49,1
97829,2,1,24,4,,3,0.59,2
97951,2,2,24,5,,15,5,1
97958,2,2,24,4,,5,0.68,2
98030,2,2,24,4,,5,1.14,1
98145,2,2,24,3,,,,1
98285,2,2,24,5,,15,5,1
98395,2,2,24,3,,3,0.61,2
98448,2,2,24,4,,10,2.06,1
98458,2,1,24,2,,99,,2
98490,2,1,24,3,,15,5,2
98710,2,1,24,1,,,,2
98824,2,1,24,5,,10,1.5,1
98870,2,2,24,3,,2,0.35,2
98918,2,1,24,4,,,,1
98952,2,1,24,5,,15,5,1
99052,1,1,24,3,,14,4.2,2
99092,1,2,24,3,,8,2.07,2
99154,2,1,24,5,,9,2.04,2
99207,2,2,24,4,,5,1.18,2
99426,1,1,24,3,,,,1
99715,2,2,24,4,,6,1.06,1
99775,1,1,24,3,,14,3.62,1
99790,2,1,24,5,,15,3.04,2
99869,2,1,24,3,,5,0.96,2
100040,2,1,24,5,,9,3.35,1
100089,2,2,24,3,,15,3.91,2
100090,2,2,24,1,,99,,2
100269,2,2,24,3,,6,1.14,2
100590,2,1,24,5,,,,1
100641,2,2,24,5,,12,,1
101358,1,2,24,5,,6,1.65,2
101427,2,2,24,3,,10,3.31,1
101540,1,2,24,4,,5,0.96,2
101590,2,1,24,1,,15,5,1
101768,2,1,24,3,,99,,2
101937,2,1,24,5,,9,2.9,2
101966,2,1,24,2,,6,1.3,2
101971,2,1,24,4,,99,,1
102026,2,2,24,3,,4,1.32,2
102028,2,1,24,5,,13,,1
102105,2,2,24,4,,6,1.04,2
102135,2,1,24,4,,5,1.43,1
102255,2,2,24,3,,7,3.62,1
102507,2,1,24,1,,99,,1
102589,2,2,24,4,,4,0.6,2
102689,2,1,24,3,,6,1.2,1
102700,1,1,24,2,,14,3.66,1
102781,2,1,24,1,,15,5,2
102809,2,1,24,1,,4,,2
102933,2,2,24,4,,12,1.66,1
93746,2,2,25,4,,7,3.4,2
93782,2,2,25,4,,14,4.65,1
93912,2,2,25,4,,,,2
94004,2,2,25,5,,15,3.82,1
94012,2,2,25,5,,8,2.15,2
94340,2,1,25,3,,14,4.68,2
94366,2,1,25,5,,10,1.32,2
94392,2,1,25,4,,10,3.23,2
94430,2,2,25,5,,8,2.2,2
