,City Name,State Name,Latitude,Longitude,Facility ID,Facility Name,Emission,Gas Code,Gas Name,Year
73999,Palatka,Florida,29.744193,-81.642583,1002012,Continental Palatka  Llc.,64911.0,CO2,Carbon Dioxide,2012
74000,Venice,Illinois,38.6642,-90.1764,1001528,Venice,113405.7,CO2,Carbon Dioxide,2012
74001,Warren,Ohio,41.211242,-80.81681999999999,1003380,Arcelormittal Warren  (0278000648),59.0,CH4,Methane,2016
74002,Waskom,Texas,32.472494,-94.071155,1007399,Waskom Gas Processing Plant,179624.9,CO2,Carbon Dioxide,2013
74003,Scotland,South Dakota,43.1468,-97.7264,1004103,Poet Research Center  Inc.,7.75,CH4,Methane,2015
74004,Newark,New Jersey,40.7197,-74.13,1001239,Newark Bay Cogen,171210.9,CO2,Carbon Dioxide,2010
74005,Cuthbert,Georgia,31.770884000000002,-84.734284,1004987,Georgia Feed Products Co,39.931999999999995,N2O,Nitrous Oxide,2010
74006,South Hutchinson,Kansas,38.040279,-97.952167,1002327,Morton Salt  Inc.,25556.5,CO2,Carbon Dioxide,2014
74007,Sidney,Ohio,40.27555,-84.19473,1005694,Cargill Inc Soy Processing Plant *,164.25,CH4,Methane,2014
74008,Sulphur,Louisiana,30.156194,-93.339443,1003857,Grace Davison,60.25,CH4,Methane,2014
74009,Ferndale,Washington,48.828707,-122.685533,1000001,Pse Ferndale Generating Station,164.794,N2O,Nitrous Oxide,2010
74010,Corona,California,33.86716,-117.52413,1011361,All American Asphalt,26743.2,CO2,Carbon Dioxide,2011
74011,Huntsville,Alabama,34.646944,-86.673055,1002108,Us Army Garrison - Redstone,18.476,N2O,Nitrous Oxide,2011
74012,Glen Lyn,Virginia,37.3704,-80.8639,1000962,Glen Lyn,99058.0,CO2,Carbon Dioxide,2014
74013,Windsor,Colorado,40.455978,-104.857553,1006942,Front Range Energy,18.0,CH4,Methane,2014
74014,East Chicago,Indiana,41.668631,-87.472829,1002120,Praxair - Whiting  In 5&6,1.0,CH4,Methane,2012
74015,Cashion,Oklahoma,35.74779,-97.65616,1007821,Cashion Gas Plant,15.5,CH4,Methane,2013
74016,Malaga,Washington,47.3567,-120.1273,1000635,Alcoa Wenatchee Llc,14.25,CH4,Methane,2011
74017,Tacoma,Washington,47.08187,-122.3649,1004175,Frederickson Pse,14.25,CH4,Methane,2016
74018,San Juan,Puerto Rico,18.4275,-66.1052,1003649,Prepa San Juan Steam Power Plant,1971128.4,CO2,Carbon Dioxide,2014
74019,Sanger,California,36.68508,-119.55227,1005044,Algonquin Power Sanger  Llc,33.674,N2O,Nitrous Oxide,2014
74020,Mojave,California,35.029298,-118.316236,1006842,Calportland Company Mojave Plant,1755.5179999999998,N2O,Nitrous Oxide,2014
74021,Fort Myers,Florida,26.631666999999997,-81.76138900000001,1002268,Lee County Solid Waste Resource Recovery Facility,307521.0,BIOCO2,Biogenic CO2,2019
74022,Lake City,South Carolina,33.834271,-79.763919,1005930,Nan Ya Plastics Corporation America South Carolina Plant,113.538,N2O,Nitrous Oxide,2014
74023,Fremont,Michigan,43.46971,-85.9554,1003206,Gerber Products Co,9.5,CH4,Methane,2014
74024,Goldendale,Washington,45.8114,-120.833,1001436,Goldendale Generating Station,101.75,CH4,Methane,2011
74025,Gardena,California,33.869859999999996,-118.27628999999999,1010696,Prime Wheel Corporation,25398.7,CO2,Carbon Dioxide,2011
74026,Baton Rouge,Louisiana,30.552014,-91.178517,1003484,Exxonmobil Chemical Co - Baton Rouge Plastics Plant,33.376,N2O,Nitrous Oxide,2013
74027,Pryor,Oklahoma,36.23124,-95.27639,1005128,Cabot Norit Americas Inc,118506.2,CO2,Carbon Dioxide,2013
74028,Longview,Washington,46.13848,-122.98396000000001,1005156,Solvay Chemicals Inc,45598.0,CO2,Carbon Dioxide,2011
74029,Madera,California,36.92375,-120.10412,1000005,Ardagh Glass Inc.,28.5,CH4,Methane,2010
74030,Selma,Alabama,32.379512,-86.992948,1003777,Globe Metallurgical,186204.8,CO2,Carbon Dioxide,2010
74031,Princeton,New Jersey,40.354641,-74.646744,1001868,Trustees Of Princeton University,77781.9,CO2,Carbon Dioxide,2010
74032,Princeton,New Jersey,40.354641,-74.646744,1001868,Trustees Of Princeton University,0.0,CO2,Carbon Dioxide,2010
74033,Jamesville,New York,43.004785,-76.11473000000001,1006772,Onondaga Co Resource Recovery Facility,4122.83,N2O,Nitrous Oxide,2014
74034,Rahway,New Jersey,40.6008,-74.2664,1002269,Union County Resource Recovery Facility,297354.7,BIOCO2,Biogenic CO2,2014
74035,Morristown,Indiana,39.679788,-85.687207,1002433,Bunge North America,29.25,CH4,Methane,2017
74036,Laredo,Texas,27.9859,-99.8659,1011698,G1Lt Cdp Compressor Station,16.688,N2O,Nitrous Oxide,2014
74037,Laredo,Texas,27.9859,-99.8659,1011698,G1Lt Cdp Compressor Station,14.0,CH4,Methane,2014
74038,Central City,Nebraska,41.109722,-97.971389,1000344,Green Plains Central City Llc,56.25,CH4,Methane,2010
74039,Tampa,Florida,27.949340000000003,-82.42098,1004572,Mckay Bay Facility,172216.0,BIOCO2,Biogenic CO2,2014
74040,Sulphur,Louisiana,30.21937,-93.32540999999999,1003654,Westlake Polymers Lp - Polyethylene I & Ii Plants,30295.9,CO2,Carbon Dioxide,2014
74041,Sheridan,Wyoming,44.833033,-106.819382,1004080,Copano Pipelines/Rocky Mountains  Hape 14  Wy,3.0,CH4,Methane,2014
74042,Morristown,Indiana,39.679788,-85.687207,1002433,Bunge North America,40.23,N2O,Nitrous Oxide,2018
74043,Bridgeport,Texas,33.168391,-97.85039499999999,1007507,Graham Ranch Compressor Station,26752.0,CO2,Carbon Dioxide,2011
74044,Franklin Furnace,Ohio,38.5973,-82.8271,1002777,Haverhill Coke Company  Llc,12.0,CH4,Methane,2019
74045,Navasota,Texas,30.347609999999996,-96.07460999999999,1001911,Ellwood Texas Forge Navasota,25.926,N2O,Nitrous Oxide,2011
74046,Corpus Christi,Texas,27.80152,-97.39419000000001,1002970,Citgo Corpus Christi Refinery - West Plant,420236.8,CO2,Carbon Dioxide,2016
74047,Wilmington,Delaware,39.75,-75.55,1002712,Dupont Experimental Station,77.0,CH4,Methane,2013
74048,Richburg,South Carolina,34.706035,-81.000812,1002924,Guardian Industries Llc - Richburg,50.361999999999995,N2O,Nitrous Oxide,2013
74049,Sterling Heights,Michigan,42.55553,-83.02938,1005484,Fca Sterling Stamping Plant,7.152,N2O,Nitrous Oxide,2011
74050,Ludington,Michigan,43.96504,-86.4393,1010034,Great Lakes Castings Llc,54.0,CH4,Methane,2014
74051,Lovell,Wyoming,44.7155,-108.18700000000001,1004819,Georgia Pacific Gypsum Llc,12.814,N2O,Nitrous Oxide,2013
74052,Waterbury,Vermont,44.3115,-72.70565,1004253,Epp Moretown Landfill Gas To Energy,22.75,CH4,Methane,2014
74053,Destrehan,Louisiana,29.939649,-90.348691,1005022,Bunge North America Inc,44204.2,CO2,Carbon Dioxide,2017
74054,St. Louis,Missouri,38.65972,-90.19248,1005077,Mallinckrodt,31701.9,CO2,Carbon Dioxide,2017
74055,Proctor,West Virginia,39.815343,-80.81116,1005772,Certainteed Gypsum,29.25,CH4,Methane,2014
74056,Marcus Hook,Pennsylvania,39.8119,-75.42399999999999,1002611,Sunoco Partners Marketing & Terminals L.P. - Marcus Hook Industrial Complex,695.5319999999999,N2O,Nitrous Oxide,2017
74057,Marcus Hook,Pennsylvania,39.8119,-75.42399999999999,1002611,Sunoco Partners Marketing & Terminals L.P. - Marcus Hook Industrial Complex,298.0,CH4,Methane,2018
74058,Elkton,Virginia,38.38433,-78.65199,1003595,Merck Sharp & Dohme Corp - Stonewall Plant,23.5,CH4,Methane,2013
74059,Sweetwater,Alabama,32.202436,-87.947919,1007005,Transco Station 90,61.0,CH4,Methane,2010
74060,Theodore,Alabama,30.516944,-88.14028,1007041,Evonik Corporation,152978.0,CO2,Carbon Dioxide,2012
